Statistical profiling result from Proffiling-raw-NoAuthinfoLog.log, (6007 ticks, 11 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.4%  LazyCompile: *mergeSource /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:267:36
      3    0.0%    0.4%  LazyCompile: *formatWithOptionsInternal internal/util/inspect.js:1864:35
      3    0.0%    0.4%  LazyCompile: *extend /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      3    0.0%    0.4%  LazyCompile: *classifySexpr /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:363:40
      3    0.0%    0.4%  LazyCompile: *appendToBuffer /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:42:42
      2    0.0%    0.3%  RegExp: ^\s*?\r?\n
      2    0.0%    0.3%  RegExp: ^\s*?(\r?\n|$)
      2    0.0%    0.3%  RegExp: ^\.|this\b
      2    0.0%    0.3%  RegExp: ^[a-zA-Z_][a-zA-Z_0-9]*$
      2    0.0%    0.3%  RegExp: ^(?:\{\{(~)?\s*else\s*(~)?\}\})
      2    0.0%    0.3%  RegExp: ^(?:\{\{(~)?\s*else\b)
      2    0.0%    0.3%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      2    0.0%    0.3%  RegExp: ^(?:\{\{(~)?>)
      2    0.0%    0.3%  RegExp: SSS
      2    0.0%    0.3%  LazyCompile: *resolvePath /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      2    0.0%    0.3%  LazyCompile: *readPackageScope internal/modules/cjs/loader.js:289:26
      2    0.0%    0.3%  LazyCompile: *normalize path.js:1103:12
      2    0.0%    0.3%  LazyCompile: *join path.js:1142:7
      2    0.0%    0.3%  LazyCompile: *internalNameLookup /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:66:50
      2    0.0%    0.3%  LazyCompile: *formatProperty internal/util/inspect.js:1651:24
      2    0.0%    0.3%  LazyCompile: *asString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/date-format/lib/index.js:29:18
      2    0.0%    0.3%  LazyCompile: *appendEscaped /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      2    0.0%    0.3%  LazyCompile: *accept /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/visitor.js:57:26
      2    0.0%    0.3%  LazyCompile: *accept /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:101:26
      2    0.0%    0.3%  LazyCompile: *SourceNode_add /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/source-map/lib/source-node.js:172:51
      2    0.0%    0.3%  LazyCompile: *PathExpression /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      1    0.0%    0.1%  RegExp: ^\/?$
      1    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.1%  RegExp: ^TLS_
      1    0.0%    0.1%  RegExp: ^(?:\{\{\{\{)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\{)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#\*?)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?#>)
      1    0.0%    0.1%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      1    0.0%    0.1%  RegExp: ^(?:\s+)
      1    0.0%    0.1%  RegExp: ^(?:[^\x00]+)
      1    0.0%    0.1%  RegExp: ^(?:@)
      1    0.0%    0.1%  RegExp: ^(?:"(\\["]|[^"])*")
      1    0.0%    0.1%  LazyCompile: *stat internal/modules/cjs/loader.js:146:14
      1    0.0%    0.1%  LazyCompile: *setupHelper /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1020:36
      1    0.0%    0.1%  LazyCompile: *replaceStack /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      1    0.0%    0.1%  LazyCompile: *readSync fs.js:578:18
      1    0.0%    0.1%  LazyCompile: *quotedString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      1    0.0%    0.1%  LazyCompile: *pushContext /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:437:36
      1    0.0%    0.1%  LazyCompile: *prepareProgram /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:185:24
      1    0.0%    0.1%  LazyCompile: *preparePath /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      1    0.0%    0.1%  LazyCompile: *lookupProperty /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      1    0.0%    0.1%  LazyCompile: *formatRaw internal/util/inspect.js:777:19
      1    0.0%    0.1%  LazyCompile: *emit events.js:349:44
      1    0.0%    0.1%  LazyCompile: *dirname path.js:1247:10
      1    0.0%    0.1%  LazyCompile: *createNewLookupObject /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/internal/create-new-lookup-object.js:15:31
      1    0.0%    0.1%  LazyCompile: *aliasable /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1006:32
      1    0.0%    0.1%  LazyCompile: *SourceNode_prepend /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/source-map/lib/source-node.js:197:59
      1    0.0%    0.1%  LazyCompile: *Program /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      1    0.0%    0.1%  LazyCompile: *Module.load internal/modules/cjs/loader.js:938:33
      1    0.0%    0.1%  LazyCompile: *Hash internal/crypto/hash.js:37:14
      1    0.0%    0.1%  LazyCompile: *<anonymous> :1:20
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39

 [C++]:
   ticks  total  nonlib   name
     60    1.0%    7.5%  epoll_pwait
     45    0.7%    5.6%  __write
     19    0.3%    2.4%  syscall
     15    0.2%    1.9%  fwrite
     15    0.2%    1.9%  __libc_malloc
