Statistical profiling result from Proffiling-raw-NoAuthinfoLog.log, (6007 ticks, 11 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%            LazyCompile: ~compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1   50.0%          LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1  100.0%            LazyCompile: ~compileInput /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
      2    1.8%        LazyCompile: ~formatProperty internal/util/inspect.js:1651:24
      2  100.0%          LazyCompile: ~formatArray internal/util/inspect.js:1477:21
      2  100.0%            LazyCompile: ~formatRaw internal/util/inspect.js:777:19
      2    1.8%        LazyCompile: ~command /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/mongodb/lib/cmap/connection.js:162:12
      2  100.0%          LazyCompile: ~<anonymous> /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/mongodb/lib/cmap/connect.js:80:43
      2  100.0%            LazyCompile: ~prepareHandshakeDocument /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/mongodb/lib/cmap/connect.js:145:34
      2    1.8%        LazyCompile: ~Module.load internal/modules/cjs/loader.js:938:33
      2  100.0%          LazyCompile: ~Module._load internal/modules/cjs/loader.js:725:24
      2  100.0%            LazyCompile: ~Module.require internal/modules/cjs/loader.js:966:36
      2    1.8%        LazyCompile: *stat internal/modules/cjs/loader.js:146:14
      2  100.0%          LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:462:28
      2  100.0%            LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:816:35
      2    1.8%        LazyCompile: *setupHelperArgs /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1104:44
      2  100.0%          LazyCompile: *invokeAmbiguous /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
      2  100.0%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      2    1.8%        LazyCompile: *render /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      2  100.0%          /usr/bin/node
     90    3.6%      LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     34   37.8%        LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     16   47.1%          LazyCompile: *render /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-handlebars/lib/express-handlebars.js:150:15
     16  100.0%            /usr/bin/node
     10   29.4%          LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      5   50.0%            LazyCompile: ~compileInput /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
      5   50.0%            LazyCompile: *render /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      8   23.5%          LazyCompile: ~compileInput /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
      8  100.0%            LazyCompile: ~ret /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:515:15
     33   36.7%        LazyCompile: *render /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-handlebars/lib/express-handlebars.js:150:15
     33  100.0%          /usr/bin/node
     23   25.6%        LazyCompile: ~compileInput /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
     23  100.0%          LazyCompile: ~ret /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:515:15
     23  100.0%            LazyCompile: ~_renderTemplate /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-handlebars/lib/express-handlebars.js:260:18
     71    2.8%      LazyCompile: *SourceNode_walk /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/source-map/lib/source-node.js:221:53
     65   91.5%        LazyCompile: *SourceNode_walk /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/source-map/lib/source-node.js:221:53
     60   92.3%          LazyCompile: *SourceNode_walk /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/source-map/lib/source-node.js:221:53
     57   95.0%            LazyCompile: *SourceNode_walk /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/source-map/lib/source-node.js:221:53
      3    5.0%            LazyCompile: ~SourceNode_toString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/source-map/lib/source-node.js:318:61
      5    7.7%          LazyCompile: ~SourceNode_toString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/source-map/lib/source-node.js:318:61
      5  100.0%            /usr/bin/node
      6    8.5%        LazyCompile: ~SourceNode_toString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/source-map/lib/source-node.js:318:61
      6  100.0%          /usr/bin/node
      4   66.7%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      2   33.3%            LazyCompile: ~createFunctionContext /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:216:56
     66    2.6%      LazyCompile: *next /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     62   93.9%        LazyCompile: *parse /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     62  100.0%          LazyCompile: ~parseWithoutProcessing /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:33:32
     33   53.2%            LazyCompile: ~parse /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:51:15
     29   46.8%            LazyCompile: *render /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      4    6.1%        LazyCompile: ~lex /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:525:30
      4  100.0%          LazyCompile: *parse /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
      4  100.0%            LazyCompile: ~parseWithoutProcessing /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:33:32
     49    1.9%      LazyCompile: ~writevGeneric internal/stream_base_commons.js:118:23
     49  100.0%        LazyCompile: ~Socket._writeGeneric net.js:772:42
     49  100.0%          LazyCompile: ~Socket._writev net.js:804:36
     49  100.0%            LazyCompile: ~doWrite internal/streams/writable.js:367:17
     44    1.7%      LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
     40   90.9%        LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:306:29
      2    5.0%          LazyCompile: ~setupPrepareStackTrace internal/bootstrap/node.js:254:32
      2  100.0%            Eval: ~<anonymous> internal/bootstrap/node.js:1:1
      2    5.0%          Eval: ~<anonymous> tty.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      2    5.0%          Eval: ~<anonymous> stream.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      2    5.0%          Eval: ~<anonymous> internal/modules/esm/loader.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      2    5.0%          Eval: ~<anonymous> internal/cluster/master.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      2    5.0%          Eval: ~<anonymous> internal/bootstrap/node.js:1:1
      2    5.0%          Eval: ~<anonymous> http.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          LazyCompile: ~setupProcessObject internal/bootstrap/node.js:273:28
      1  100.0%            Eval: ~<anonymous> internal/bootstrap/node.js:1:1
      1    2.5%          LazyCompile: ~setupBuffer internal/bootstrap/node.js:302:21
      1  100.0%            Eval: ~<anonymous> internal/bootstrap/node.js:1:1
      1    2.5%          LazyCompile: ~lazyLoadStreams fs.js:2064:25
      1  100.0%            LazyCompile: ~get ReadStream fs.js:2172:17
      1    2.5%          LazyCompile: ~initializeSourceMapsHandlers internal/bootstrap/pre_execution.js:452:38
      1  100.0%            LazyCompile: ~prepareMainThreadExecution internal/bootstrap/pre_execution.js:21:36
      1    2.5%          LazyCompile: ~initializeCJSLoader internal/bootstrap/pre_execution.js:427:29
      1  100.0%            LazyCompile: ~prepareMainThreadExecution internal/bootstrap/pre_execution.js:21:36
      1    2.5%          Eval: ~<anonymous> url.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> tls.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> internal/timers.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> internal/streams/pipeline.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> internal/source_map/source_map_cache.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> internal/process/task_queues.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> internal/modules/esm/module_map.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> internal/modules/esm/get_source.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> internal/modules/cjs/loader.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> internal/crypto/pbkdf2.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> internal/crypto/keygen.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> internal/child_process.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> internal/bootstrap/switches/is_main_thread.js:1:1
      1    2.5%          Eval: ~<anonymous> internal/blob.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> https.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> events.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> dns.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> child_process.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> buffer.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> _http_outgoing.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      1    2.5%          Eval: ~<anonymous> _http_common.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:273:27
      4    9.1%        LazyCompile: ~compileForPublicLoader internal/bootstrap/loaders.js:220:25
      4  100.0%          LazyCompile: ~loadNativeModule internal/modules/cjs/helpers.js:43:26
      4  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:725:24
     42    1.7%      LazyCompile: ~handleWriteReq internal/stream_base_commons.js:47:24
     42  100.0%        LazyCompile: ~writeGeneric internal/stream_base_commons.js:143:22
     42  100.0%          LazyCompile: ~Socket._writeGeneric net.js:772:42
     42  100.0%            LazyCompile: ~Socket._write net.js:809:35
     39    1.5%      LazyCompile: ~session /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-session/index.js:179:26
     22   56.4%        LazyCompile: ~handle /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/layer.js:86:49
     22  100.0%          LazyCompile: ~trim_prefix /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:288:23
     16   72.7%            LazyCompile: *next /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:176:16
      6   27.3%            LazyCompile: ~<anonymous> /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:275:64
     17   43.6%        LazyCompile: *trim_prefix /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:288:23
     17  100.0%          LazyCompile: *next /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:176:16
     17  100.0%            LazyCompile: ~logAllRequest /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/server.js:80:23
     37    1.5%      LazyCompile: ~readFile fs.js:318:18
     37  100.0%        LazyCompile: ~go$readFile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/graceful-fs/graceful-fs.js:117:26
     37  100.0%          LazyCompile: ~readFile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/graceful-fs/graceful-fs.js:111:21
     37  100.0%            LazyCompile: ~<anonymous> internal/util.js:339:24
     33    1.3%      LazyCompile: ~authenticate /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/passport/lib/middleware/authenticate.js:94:31
     23   69.7%        LazyCompile: ~handle /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/layer.js:86:49
     23  100.0%          LazyCompile: ~trim_prefix /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:288:23
     19   82.6%            LazyCompile: *next /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:176:16
      4   17.4%            LazyCompile: ~<anonymous> /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:275:64
     10   30.3%        LazyCompile: *trim_prefix /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:288:23
     10  100.0%          LazyCompile: *next /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express/lib/router/index.js:176:16
     10  100.0%            LazyCompile: ~initialize /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/passport/lib/middleware/initialize.js:51:29
     33    1.3%      LazyCompile: ~Hash internal/crypto/hash.js:37:14
     33  100.0%        LazyCompile: ~createHash crypto.js:113:20
     21   63.6%          LazyCompile: ~hash /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-session/index.js:596:14
     15   71.4%            LazyCompile: ~generate /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-session/index.js:363:22
      6   28.6%            LazyCompile: ~isModified /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-session/index.js:425:24
     12   36.4%          LazyCompile: ~entitytag /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/etag/index.js:39:20
     12  100.0%            LazyCompile: ~etag /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/etag/index.js:70:15
     29    1.2%      LazyCompile: ~close internal/fs/read_file_context.js:116:8
     29  100.0%        LazyCompile: ~readFileAfterRead internal/fs/read_file_context.js:28:27
     27    1.1%      LazyCompile: *quotedString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
     16   59.3%        LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     10   62.5%          LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      9   90.0%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1   10.0%            LazyCompile: *render /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      5   31.3%          LazyCompile: ~compileInput /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
      5  100.0%            LazyCompile: ~ret /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:515:15
      1    6.3%          LazyCompile: *render /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      1  100.0%            /usr/bin/node
     10   37.0%        LazyCompile: ~pushSource /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
      7   70.0%          LazyCompile: ~appendEscaped /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      5   71.4%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      2   28.6%            LazyCompile: ~compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      2   20.0%          LazyCompile: ~compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      2  100.0%            LazyCompile: ~compileChildren /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:805:44
      1   10.0%          LazyCompile: ~append /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:394:26
      1  100.0%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1    3.7%        LazyCompile: ~<anonymous> /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      1  100.0%          /usr/bin/node
      1  100.0%            LazyCompile: ~objectLiteral /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:123:40
     26    1.0%      LazyCompile: *setupHelperArgs /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1104:44
     21   80.8%        LazyCompile: *invokeAmbiguous /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:699:44
     21  100.0%          LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     13   61.9%            LazyCompile: *render /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      5   23.8%            LazyCompile: ~compileInput /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
      3   14.3%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      4   15.4%        LazyCompile: *setupHelper /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1020:36
      4  100.0%          LazyCompile: ~invokeKnownHelper /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:682:48
      4  100.0%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1    3.8%        LazyCompile: ~setupHelper /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1020:36
      1  100.0%          LazyCompile: ~invokeKnownHelper /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:682:48
      1  100.0%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     63    1.2%    LazyCompile: *Module._compile internal/modules/cjs/loader.js:1039:37
     63  100.0%      LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1094:37
     34   54.0%        LazyCompile: *Module.load internal/modules/cjs/loader.js:938:33
     34  100.0%          LazyCompile: ~Module._load internal/modules/cjs/loader.js:725:24
     34  100.0%            LazyCompile: ~Module.require internal/modules/cjs/loader.js:966:36
     29   46.0%        LazyCompile: ~Module.load internal/modules/cjs/loader.js:938:33
     29  100.0%          LazyCompile: ~Module._load internal/modules/cjs/loader.js:725:24
     29  100.0%            LazyCompile: ~Module.require internal/modules/cjs/loader.js:966:36

    135    2.2%  /lib/x86_64-linux-gnu/libc-2.31.so
    103   76.3%    /usr/bin/node
     35   34.0%      /usr/bin/node
      7   20.0%        LazyCompile: *quotedString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      4   57.1%          LazyCompile: ~pushSource /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
      3   75.0%            LazyCompile: ~append /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:394:26
      1   25.0%            LazyCompile: ~appendEscaped /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      2   28.6%          LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      2  100.0%            LazyCompile: *compile /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      1   14.3%          LazyCompile: ~quotedString /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:998:38
      1  100.0%            LazyCompile: ~setupParams /home/nmastromarino/Codigo/CoderHouse-Backend/Clase 32 - TP Logger gzip profiling/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1034:36
